id,customer_id,type,title,message,is_read,created_at
ae0ed15f-1bce-4058-929f-20d84c3c4400,a2d863a0-e367-4b94-8ba2-80b5bd1eb232,order,Order Confirmed! 🎉,Your order ORD-20260704-80D406FE has been placed successfully. Total: ₹641.25,True,2026-07-04T16:30:28.038841+00:00
beba4ac6-891f-4617-809a-90d1692e33b5,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260705-709574E4 has been placed successfully. Total: ₹641.25,False,2026-07-05T02:15:39.136032+00:00
25af5619-3805-4a0e-9ea9-310c3093e506,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260705-10D08F38 has been placed successfully. Total: ₹641.25,False,2026-07-05T02:21:32.800965+00:00
f8643197-168b-4bbc-aefc-7ad389815492,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260705-8CD57271 has been placed successfully. Total: ₹641.25,False,2026-07-05T02:24:24.729016+00:00
84797496-c995-4f08-9857-333e28f7f3c5,a2d863a0-e367-4b94-8ba2-80b5bd1eb232,order,Order Confirmed! 🎉,Your order ORD-20260705-1921BA38 has been placed successfully. Total: ₹171.0,True,2026-07-05T06:30:11.082681+00:00
760a0486-7473-43cb-b8bc-26cfd128b8c1,a2d863a0-e367-4b94-8ba2-80b5bd1eb232,order,Order Confirmed! 🎉,Your order ORD-20260705-E4A26652 has been placed successfully. Total: ₹360.0,True,2026-07-05T12:32:00.061977+00:00
2059dc3a-d561-45e1-a081-5f8c3e11a1c9,a2d863a0-e367-4b94-8ba2-80b5bd1eb232,order,Order Confirmed! 🎉,Your order ORD-20260706-A59AE702 has been placed successfully. Total: ₹800.0,True,2026-07-06T06:17:05.190371+00:00
dee52b1d-2d6c-4c17-8fbd-a7c7b8dec13f,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260710-7FCC0E52 has been placed successfully. Total: ₹641.25,False,2026-07-10T05:46:57.874712+00:00
6fdcc4c6-1a87-4c7c-840a-8f3539d4e7ca,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260710-9620E1BE has been placed successfully. Total: ₹641.25,False,2026-07-10T05:52:18.891598+00:00
6b923f16-3eb8-429e-ba91-b063da422257,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260710-B4090832 has been placed successfully. Total: ₹641.25,False,2026-07-10T05:52:42.071741+00:00
56fc1603-a549-43bb-8ce1-dc628d3f12ec,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260710-1BB37C21 has been placed successfully. Total: ₹641.25,False,2026-07-10T05:55:01.478557+00:00
333c9b18-bd8e-4e6a-a630-65d8a20f6b33,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260710-BBB042D6 has been placed successfully. Total: ₹641.25,False,2026-07-10T05:57:28.992154+00:00
36435c12-04fa-466b-978a-de33d1e2b307,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260710-7BD6F8CD has been placed successfully. Total: ₹641.25,False,2026-07-10T05:58:28.376853+00:00
a51a6d36-d629-4b69-aa03-3bb21cb8173a,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260711-323C2FAE has been placed successfully. Total: ₹641.25,False,2026-07-11T12:22:49.009528+00:00
72d2ecc9-6b80-4804-a1f4-c2b7ab8752f4,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260711-D2B1D865 has been placed successfully. Total: ₹641.25,False,2026-07-11T12:26:34.453064+00:00
c557d5ae-7697-4e62-83e0-21f973b9d85c,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260711-BECFF3CA has been placed successfully. Total: ₹641.25,False,2026-07-11T12:37:50.025258+00:00
9756fc9c-6c55-47a1-9539-957141881b08,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260711-96BE8FA8 has been placed successfully. Total: ₹641.25,False,2026-07-11T12:46:20.443989+00:00
7007e609-b28c-4bc9-9ccc-bf9a39a0e3e5,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260711-B001A401 has been placed successfully. Total: ₹641.25,False,2026-07-11T12:47:33.092486+00:00
09ed8c48-5e22-4841-8279-2e2dbc3ccfb4,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260711-1685995C has been placed successfully. Total: ₹641.25,False,2026-07-11T12:50:39.794731+00:00
da50866e-0d1c-4fad-8d3d-a3e0cf7b047e,3281f288-9f9e-4bdf-b85e-7c5f8feec533,order,Order Confirmed! 🎉,Your order ORD-20260714-1B541487 has been placed successfully. Total: ₹641.25,False,2026-07-14T07:32:47.847188+00:00
